Year,Nil,2%,4%,4.50%,5%,5.50%,6%,6.50%,7%,7.50%,8%
2004–05(f),35 000,,38 987,42 972,45 232,48 621,52 657,55 429,60 971,64 999,65 000
2005–06(g),36 184,,40 306,44 427, 46 762,50 266,54 439,57 304,63 062,67 199,67 200
2006–07(g),38 148,,42 494,46 838,49 300,52 994,57 394,60 414,66 485,70 846,70 847
2007–08(g),39 824,,44 360,48 896,51 466,55 322,59 915,63 068,69 405,73 959,73 960
2008–09(g),41 598,,46 333,51 070,53 754,57 782,62 579,65 873,72 492,77 247,77 248
2009–10(h),43 151,,48 066,52 980,55 764,59 943,64 919,68 336,75 203,80 136,80 137
2010–11(h),44 911,,50 028,55 143,58 041,62 390,67 750,71 126,78 273,83 407,83 408
2011–12(h),47 195,,52 572,57 947,60 993,65 563,71 006,74 743,82 253,87 649,87 650
2012–13(h),49 095,,54 688,60 279,63 448,68 202,73 864,77 751,85 564,91 177,91 178
2013–14(h),51 308,,57 173,62 997,66 308,71 277,77 194,81 256,89 421,95 287,95 288
2014–15(h),53 345,,59 421,65 497,68 939,74 105,80 257,84 481,92 970,99 069,99 070
2015–16(h),54 125,,60 292,66 456,69 949,75 190,81 432,85 718,94 331,100 519,100 520
2016–17(h),54 868,,61 119,67 368,70 909,76 222,82 550,86 894,95 626,101 899,101 900
2017–18(h),55 873,,62 238,68 602,72 207,77 618,84 062,88 486,97 377,103 765,103 766
2018–19(h),51 956,57 729,64 306,70 881,74 607,80 197,86 855,91 425,100 613,107 213,107 214
