year_end,calc_type,help_category,n,p,se,p_upper,p_lower
2013,From tax return sample,Debt reduced,5885,0.22684346451836718,0.010699353356311845,0.237542817874679,0.21614411116205534
2013,From tax return sample,Indexation and repayment balanced,2086,0.08040704621670586,0.011668677381755498,0.09207572359846136,0.06873836883495035
2013,From tax return sample,No repayment,17972,0.692749489264927,0.006744816237556703,0.6994943055024837,0.6860046730273702
2014,From tax return sample,Debt reduced,5376,0.18669259619391582,0.010415861426825072,0.1971084576207409,0.17627673476709074
2014,From tax return sample,Indexation and repayment balanced,2655,0.09220030559799972,0.011004310766812285,0.103204616364812,0.08119599483118743
2014,From tax return sample,No repayment,20765,0.7211070982080845,0.006099392213108679,0.7272064904211932,0.7150077059949758
2015,From tax return sample,Debt reduced,6264,0.19313066535117468,0.009775416307798046,0.20290608165897273,0.18335524904337663
2015,From tax return sample,Indexation and repayment balanced,2246,0.06924831966454954,0.010499063712378146,0.07974738337692769,0.0587492559521714
2015,From tax return sample,No repayment,23924,0.7376210149842758,0.00557440066214518,0.743195415646421,0.7320466143221306
2016,From tax return sample,Debt reduced,7591,0.21219321294795102,0.009197292967512129,0.22139050591546314,0.2029959199804389
2016,From tax return sample,Indexation and repayment balanced,1930,0.05394979594118634,0.010078763474962381,0.06402855941614873,0.04387103246622396
2016,From tax return sample,No repayment,26253,0.7338569911108627,0.005345738284357275,0.7392027293952199,0.7285112528265054
2017,From tax return sample,Debt reduced,8698,0.21774940543246965,0.008673125908368178,0.22642253134083784,0.20907627952410146
2017,From tax return sample,Indexation and repayment balanced,2052,0.05137063462260608,0.009551047003137865,0.06092168162574395,0.04181958761946822
2017,From tax return sample,No repayment,29195,0.7308799599449243,0.005087163776240706,0.735967123721165,0.7257927961686835
2018,From tax return sample,Debt reduced,9769,0.22304162195483915,0.008254688559885558,0.2312963105147247,0.21478693339495358
2018,From tax return sample,Indexation and repayment balanced,2417,0.055183908308408865,0.009102809542359954,0.06428671785076882,0.04608109876604891
2018,From tax return sample,No repayment,31613,0.721774469736752,0.004939696938644253,0.7267141666753962,0.7168347727981077
2019,From tax return sample,Debt reduced,9106,0.2064290895901342,0.008312820606378793,0.214741910196513,0.1981162689837554
2019,From tax return sample,Indexation and repayment balanced,4800,0.1088139281828074,0.00880926619882429,0.11762319438163168,0.10000466198398311
2019,From tax return sample,No repayment,30206,0.6847569822270584,0.005239360440691639,0.68999634266775,0.6795176217863668
2020,From tax return sample,Debt grew despite payment,1551,0.03423463193907957,0.009048918139302873,0.04328355007838244,0.0251857137997767
2020,From tax return sample,Debt reduced,11320,0.24986204613177354,0.007975013286984032,0.25783705941875756,0.24188703284478952
2020,From tax return sample,Indexation and repayment balanced,7523,0.16605231210683147,0.008408726946260986,0.17446103905309246,0.15764358516057048
2020,From tax return sample,No repayment,24911,0.5498510098223154,0.00617787313498743,0.5560288829573028,0.543673136687328
2021,From tax return sample,Debt reduced,15710,0.33846816761822685,0.007399120649959013,0.34586728826818586,0.33106904696826783
2021,From tax return sample,Indexation and repayment balanced,6716,0.14469460303781106,0.008413279979478043,0.15310788301728911,0.13628132305833301
2021,From tax return sample,No repayment,23989,0.516837229343962,0.0063234118248031105,0.5231606411687652,0.5105138175191589
2022*,Projected from 2020-21 returns,Debt grew despite payment,6603,0.1422600452439944,0.008425245332202843,0.15068529057619726,0.13383479991179156
2022*,Projected from 2020-21 returns,Debt reduced,7475,0.16104707529893353,0.008332465644707696,0.16937954094364122,0.15271460965422584
2022*,Projected from 2020-21 returns,Indexation and repayment balanced,8868,0.19105892491651405,0.008182069788144656,0.1992409947046587,0.1828768551283694
2022*,Projected from 2020-21 returns,No repayment,23469,0.505633954540558,0.006396303355969309,0.5120302578965273,0.49923765118458874
2023*,Projected from 2020-21 returns,Debt grew despite payment,15088,0.3250673273726166,0.007473687966000627,0.33254101533861724,0.317593639406616
2023*,Projected from 2020-21 returns,Debt reduced,1699,0.036604545944199075,0.00892908653440141,0.04553363247860048,0.027675459409797667
2023*,Projected from 2020-21 returns,Indexation and repayment balanced,6370,0.13724011634169989,0.00844986376758368,0.14568998010928358,0.1287902525741162
2023*,Projected from 2020-21 returns,No repayment,23258,0.5010880103414844,0.006425644669992184,0.5075136550114766,0.49466236567149224
2023+,Projected with new policy,Debt grew despite payment,4735,0.102014434988689,0.00862063809514241,0.11063507308383141,0.0933937968935466
2023+,Projected with new policy,Debt reduced,9505,0.20478293655068405,0.008112366831668308,0.21289530338235235,0.19667056971901575
2023+,Projected with new policy,Indexation and repayment balanced,8917,0.19211461811914252,0.008176729117668141,0.20029134723681066,0.18393788900147437
2023+,Projected with new policy,No repayment,23258,0.5010880103414844,0.006425644669992184,0.5075136550114766,0.49466236567149224
2024*,Projected from 2020-21 returns,Debt grew despite payment,8806,0.1897231498438005,0.008188822379335454,0.19791197222313597,0.18153432746446505
2024*,Projected from 2020-21 returns,Debt reduced,5208,0.11220510610793924,0.008571583436454838,0.12077668954439408,0.1036335226714844
2024*,Projected from 2020-21 returns,Indexation and repayment balanced,8514,0.18343208014650436,0.008220550327578654,0.191652630474083,0.1752115298189257
2024*,Projected from 2020-21 returns,No repayment,23887,0.5146396639017559,0.006337775872577702,0.5209774397743335,0.5083018880291782
2024+,Projected with new policy,Debt grew despite payment,7420,0.15986211354088117,0.008338348077946341,0.1682004616188275,0.15152376546293483
2024+,Projected with new policy,Debt reduced,6388,0.13762792200797155,0.008447964471249497,0.14607588647922104,0.12917995753672207
2024+,Projected with new policy,Indexation and repayment balanced,8720,0.18787030054939136,0.008198179668693552,0.1960684802180849,0.1796721208806978
2024+,Projected with new policy,No repayment,23887,0.5146396639017559,0.006337775872577702,0.5209774397743335,0.5083018880291782
