year_end,calc_type,help_category,n,p,se,p_upper,p_lower
2013,From tax return sample,Debt reduced,5885,0.22684346451836718,0.010699353356311845,0.237542817874679,0.21614411116205534
2013,From tax return sample,Indexation and repayment balanced,2086,0.08040704621670586,0.011668677381755498,0.09207572359846136,0.06873836883495035
2013,From tax return sample,No repayment,17972,0.692749489264927,0.006744816237556703,0.6994943055024837,0.6860046730273702
2014,From tax return sample,Debt reduced,5376,0.18669259619391582,0.010415861426825072,0.1971084576207409,0.17627673476709074
2014,From tax return sample,Indexation and repayment balanced,2655,0.09220030559799972,0.011004310766812285,0.103204616364812,0.08119599483118743
2014,From tax return sample,No repayment,20765,0.7211070982080845,0.006099392213108679,0.7272064904211932,0.7150077059949758
2015,From tax return sample,Debt reduced,6264,0.19313066535117468,0.009775416307798046,0.20290608165897273,0.18335524904337663
2015,From tax return sample,Indexation and repayment balanced,2246,0.06924831966454954,0.010499063712378146,0.07974738337692769,0.0587492559521714
2015,From tax return sample,No repayment,23924,0.7376210149842758,0.00557440066214518,0.743195415646421,0.7320466143221306
2016,From tax return sample,Debt reduced,7591,0.21219321294795102,0.009197292967512129,0.22139050591546314,0.2029959199804389
2016,From tax return sample,Indexation and repayment balanced,1930,0.05394979594118634,0.010078763474962381,0.06402855941614873,0.04387103246622396
2016,From tax return sample,No repayment,26253,0.7338569911108627,0.005345738284357275,0.7392027293952199,0.7285112528265054
2017,From tax return sample,Debt reduced,8698,0.21774940543246965,0.008673125908368178,0.22642253134083784,0.20907627952410146
2017,From tax return sample,Indexation and repayment balanced,2052,0.05137063462260608,0.009551047003137865,0.06092168162574395,0.04181958761946822
2017,From tax return sample,No repayment,29195,0.7308799599449243,0.005087163776240706,0.735967123721165,0.7257927961686835
2018,From tax return sample,Debt reduced,9769,0.22304162195483915,0.008254688559885558,0.2312963105147247,0.21478693339495358
2018,From tax return sample,Indexation and repayment balanced,2417,0.055183908308408865,0.009102809542359954,0.06428671785076882,0.04608109876604891
2018,From tax return sample,No repayment,31613,0.721774469736752,0.004939696938644253,0.7267141666753962,0.7168347727981077
2019,From tax return sample,Debt reduced,9106,0.2064290895901342,0.008312820606378793,0.214741910196513,0.1981162689837554
2019,From tax return sample,Indexation and repayment balanced,4800,0.1088139281828074,0.00880926619882429,0.11762319438163168,0.10000466198398311
2019,From tax return sample,No repayment,30206,0.6847569822270584,0.005239360440691639,0.68999634266775,0.6795176217863668
2020,From tax return sample,Debt grew despite payment,1551,0.03423463193907957,0.009048918139302873,0.04328355007838244,0.0251857137997767
2020,From tax return sample,Debt reduced,11320,0.24986204613177354,0.007975013286984032,0.25783705941875756,0.24188703284478952
2020,From tax return sample,Indexation and repayment balanced,7523,0.16605231210683147,0.008408726946260986,0.17446103905309246,0.15764358516057048
2020,From tax return sample,No repayment,24911,0.5498510098223154,0.00617787313498743,0.5560288829573028,0.543673136687328
2021,From tax return sample,Debt reduced,15710,0.33846816761822685,0.007399120649959013,0.34586728826818586,0.33106904696826783
2021,From tax return sample,Indexation and repayment balanced,6716,0.14469460303781106,0.008413279979478043,0.15310788301728911,0.13628132305833301
2021,From tax return sample,No repayment,23989,0.516837229343962,0.0063234118248031105,0.5231606411687652,0.5105138175191589
2022*,Projected from 2020-21 returns,Debt grew despite payment,6589,0.14195841861467198,0.00842672658241397,0.15038514519708596,0.133531692032258
2022*,Projected from 2020-21 returns,Debt reduced,6866,0.14792631692340838,0.008397370430845518,0.1563236873542539,0.13952894649256287
2022*,Projected from 2020-21 returns,Indexation and repayment balanced,8732,0.18812883766023913,0.008196874641676578,0.1963257123019157,0.17993196301856257
2022*,Projected from 2020-21 returns,No repayment,24228,0.5219864268016805,0.006289626406133533,0.528276053207814,0.515696800395547
2023*,Projected from 2020-21 returns,Debt grew despite payment,14458,0.3114941290531078,0.007548463501016733,0.31904259255412454,0.30394566555209107
2023*,Projected from 2020-21 returns,Debt reduced,1267,0.027297209953678767,0.008972114685866494,0.03626932463954526,0.018325095267812272
2023*,Projected from 2020-21 returns,Indexation and repayment balanced,5620,0.12108154691371324,0.008528625152506157,0.1296101720662194,0.11255292176120708
2023*,Projected from 2020-21 returns,No repayment,25070,0.5401271140795002,0.006169125960232127,0.5462962400397323,0.5339579881192681
2023+,Projected with new policy,Debt grew despite payment,4730,0.10190671119250243,0.00862115515245852,0.11052786634496095,0.0932855560400439
2023+,Projected with new policy,Debt reduced,8085,0.174189378433696,0.008266943467120189,0.18245632190081618,0.16592243496657583
2023+,Projected with new policy,Indexation and repayment balanced,8530,0.1837767962943014,0.00821881498168443,0.19199561127598583,0.175557981312617
2023+,Projected with new policy,No repayment,25070,0.5401271140795002,0.006169125960232127,0.5462962400397323,0.5339579881192681
2024*,Projected from 2020-21 returns,Debt grew despite payment,8626,0.1858450931810837,0.008208395202023478,0.19405348838310718,0.1776366979790602
2024*,Projected from 2020-21 returns,Debt reduced,3416,0.07359689755466983,0.008755979496237392,0.08235287705090723,0.06484091805843244
2024*,Projected from 2020-21 returns,Indexation and repayment balanced,7427,0.1600129268555424,0.008337599635117605,0.16835052649065999,0.1516753272204248
2024*,Projected from 2020-21 returns,No repayment,26946,0.5805450824087041,0.005891791651191402,0.5864368740598954,0.5746532907575127
2024+,Projected with new policy,Debt grew despite payment,7311,0.1575137347840138,0.008349993746550826,0.1658637285305646,0.14916374103746297
2024+,Projected with new policy,Debt reduced,4378,0.09432295594096736,0.008657478376225344,0.1029804343171927,0.08566547756474202
2024+,Projected with new policy,Indexation and repayment balanced,7780,0.16761822686631478,0.00829976921392382,0.1759179960802386,0.15931845765239097
2024+,Projected with new policy,No repayment,26946,0.5805450824087041,0.005891791651191402,0.5864368740598954,0.5746532907575127
